      Largest deviation:   0.30 kcal/mol
Mean absolute deviation:   0.03 kcal/mol
                                                      SMILES            original RED              fitted RED             residue RED
                                                  OC1C=CC=C1                   -1.08                   -1.08                    0.00
                                               OC1=CC=C[CH]1                   -0.07                   -0.07                    0.00
                                                    O=C1CCO1                   -0.66                   -0.52                    0.14
                                                  O=C1CCCCO1                   -0.68                   -0.82                   -0.14
                                               O=C1C=C[CH]C1                   -0.03                   -0.03                    0.00
                                                 O=C1C=CC=C1                   -0.95                   -0.95                    0.00
                                                C=CC#CC#CC=C                   -0.29                   -0.29                   -0.00
                                                 [C]C(=C)C=C                    0.12                    0.12                    0.00
                                                      CCOC=O                   -0.12                   -0.10                    0.02
                                                     C=C=CCC                   -0.02                   -0.02                    0.00
                                                    C=C=C=CC                   -0.09                   -0.09                    0.00
                                                  C=C=C=C=CC                   -2.51                   -2.51                    0.00
                                                  C=C=C=CC=C                   -0.71                   -0.71                    0.00
                                                  C=C=CC=C=C                   -0.55                   -0.55                   -0.00
                                                   C=C=C=C=C                   -2.05                   -2.05                    0.00
                                                   C=C=C=C=O                   -1.62                   -1.62                    0.00
                                                 C=C=C=C=C=C                   -1.33                   -1.33                    0.00
                                                     C=CC=CC                   -0.03                    0.14                    0.17
                                                    C=CC=CCC                   -0.08                   -0.08                   -0.00
                                                C=C=CC=C(C)C                   -0.55                   -0.55                    0.00
                                                     C=COC=C                   -0.60                   -0.60                    0.00
                                                   C=CC=CC=C                   -0.27                   -0.19                    0.08
                                                C=CC=CC=CC=C                   -0.76                   -0.81                   -0.05
                                             C=CC=CC=CC=CC=C                   -1.34                   -1.43                   -0.09
                                          C=CC=CC=CC=CC=CC=C                   -1.99                   -2.05                   -0.06
                                       C=CC=CC=CC=CC=CC=CC=C                   -2.68                   -2.67                    0.01
                                    C=CC=CC=CC=CC=CC=CC=CC=C                   -3.38                   -3.29                    0.08
                                                      C=COCC                   -0.07                   -0.10                   -0.02
                                                     C=COCCC                   -0.12                   -0.10                    0.02
                                                      CC=COC                   -0.18                   -0.16                    0.02
                                                     CC=COCC                   -0.24                   -0.26                   -0.02
                                                     CC=C=CC                   -0.04                   -0.04                    0.00
                                                    CC=CC=CC                   -0.14                   -0.16                   -0.02
                                                  C=CC(=C)CC                    0.09                    0.14                    0.05
                                                 C=CC(=C)CCC                    0.07                    0.02                   -0.05
                                                     C=CC#CC                    0.07                    0.07                    0.00
                                                    C=CC#CCC                    0.07                    0.07                    0.00
                                                   C=CC#CC=C                   -0.10                   -0.10                    0.00
                                                   C=[C]C=CC                   -0.47                   -0.47                   -0.00
                                                     CC=CC=O                    0.20                    0.08                   -0.12
                                                   CC=C[C]=O                   -1.67                   -1.67                    0.00
                                            O=C1C=CC(=O)C=C1                   -1.22                   -1.22                    0.00
                                                   [C]C=CC=C                   -0.67                   -0.67                    0.00
                                                CC=CC(=O)OCC                    0.30                    0.32                    0.02
                                              CC=CC(=O)OCCCC                    0.35                    0.33                   -0.02
                                                CC(=O)OC(C)C                   -0.49                   -0.49                   -0.00
                                               CC(=O)OC(C)=O                    0.25                    0.25                    0.00
                                                     c1ccoc1                   -3.55                   -3.55                    0.00
                                                    c1ccccc1                   -6.07                   -6.06                    0.01
                                                 C=Cc1ccccc1                   -6.82                   -6.81                    0.01
                                                   Cc1ccccc1                   -6.67                   -6.66                    0.01
                                                 Cc1ccc(C)o1                   -4.67                   -4.66                    0.01
                                                Cc1cccc(O)c1                   -5.98                   -5.97                    0.01
                                           Cc1ccc(C(=O)O)cc1                   -6.28                   -6.27                    0.01
                                                  CCc1ccccc1                   -6.70                   -6.58                    0.12
                                                 CCCc1ccccc1                   -6.75                   -6.69                    0.06
                                             c1ccc2cccc-2cc1                  -12.18                  -12.17                    0.01
                                              c1ccc2ccccc2c1                  -10.78                  -10.77                    0.01
                                        c1ccc2cc3ccccc3cc2c1                  -15.41                  -15.39                    0.02
                                      c1ccc2c(c1)ccc1ccccc12                  -16.60                  -16.59                    0.01
                              C1=Cc2ccc3c4c(ccc(c24)C1)CC=C3                  -14.15                  -14.14                    0.01
                                  c1cc2ccc3cccc4ccc(c1)c2c34                  -20.39                  -20.38                    0.01
                                                 [O]c1ccccc1                   -1.28                   -1.27                    0.01
                                                  [c]1ccccc1                  -10.78                  -10.78                    0.00
                                               [CH2]c1ccccc1                   -7.89                   -7.88                    0.01
                                                   Oc1ccccc1                   -5.48                   -5.47                    0.01
                                                  OCc1ccccc1                   -6.42                   -6.58                   -0.16
                                                 O=Cc1ccccc1                   -6.98                   -6.97                    0.01
                                               O=[C]c1ccccc1                    3.49                    3.50                    0.01
                                                   c1ccccc#1                   -3.60                   -3.60                    0.00
                                                  Cc1ccccc1C                   -5.97                   -5.97                    0.00
                                                 C#Cc1ccccc1                   -6.81                   -6.80                    0.01
                                              CC(=O)c1ccccc1                   -6.45                   -6.44                    0.01
                                       C(#Cc1ccccc1)c1ccccc1                  -13.89                  -13.88                    0.01
                                      c1ccc2c(c1)Cc1ccccc1-2                  -13.31                  -13.30                    0.01
                              C1=c2ccc3c4c(ccc(c24)=C1)=CC=3                  -11.72                  -11.72                    0.00
                          c1cc2cccc3c4cccc5cccc(c(c1)c23)c54                  -22.25                  -22.23                    0.02
                                c1ccc2c(c1)ccc1c3ccccc3ccc21                  -20.68                  -20.66                    0.02
                                c1ccc2cc3c(ccc4ccccc43)cc2c1                  -21.37                  -21.35                    0.02
                                         C1=Cc2cccc3cccc1c23                  -14.53                  -14.52                    0.01
                                         c1ccc(-c2ccccc2)cc1                  -13.85                  -13.84                    0.01
                                c1ccc2c(c1)c1ccccc1c1ccccc21                  -16.96                  -16.95                    0.01
                                c1ccc2c(c1)-c1cccc3cccc-2c13                  -19.92                  -19.91                    0.01
                                  [CH]1c2cccc3ccc4cccc1c4c23                  -16.95                  -16.94                    0.01
                                                      CCOOCC                   -0.17                   -0.09                    0.08
                                                     COOC[O]                    0.12                   -0.04                   -0.16
                                                      C#CCOO                    0.06                    0.06                    0.00
                                                   C=C[C]=CO                   -0.34                   -0.34                    0.00
                                                   [CH2]OCOO                   -0.79                   -0.77                    0.02
                                                   [O]OC=C=O                    1.71                    1.71                    0.00
                                                    [O]COC=O                   -0.09                   -0.09                    0.00
                                                    C=CCO[O]                   -0.46                   -0.46                   -0.00
                                                    C#CC1CC1                   -0.59                   -0.59                   -0.00
                                                  C=COC(C)=O                    0.52                    0.52                    0.00
                                                   [O]OCOCOO                   -1.45                   -1.46                   -0.01
                                                 Cc1cc[c]cc1                  -11.45                  -11.45                    0.00
                                                  C=CC(=O)OC                    0.01                    0.01                    0.00
                                                CCC(C)(CC)CC                    0.30                    0.30                    0.00
                                                  OC1=CC=CC1                   -1.33                   -1.33                    0.00
                                              CC1(C(O)OO)CO1                   -0.13                   -0.13                    0.00

